"1","1","1","2",,"2","3","5","0","0","2","0","3","0","0","0","0","4","2","6","2016-03-08","10:39:31","10:39:55","computer","null"
"2","1","2","3",,"2","4","3","0","2","0","4","0","0","0","0","0","2","3","5","2016-03-11","8:48:1","8:48:27","computer","null"
"3","1","3","3","Je commence ma journée de travail","5","6","6","6","0","0","0","0","0","0","0","0","6","1","2","2016-03-14","9:44:13","9:45:19","computer","null"
"4","1","4","3","Lire mes mails","5","4","6","0","0","0","0","6","4","0","0","0","2","2","1","2016-03-15","9:13:14","9:13:50","computer","null"
"5","2","1","1","Une pause entre deux projets ","7","5","5","0","0","0","0","0","0","0","0","0","3","1","2","2016-03-08","17:32:37","17:33:33","smartphone","null"
"6","2","2","1","Travail sur du shell","2","6","5","5","0","3","0","3","0","5","0","0","6","2","4","2016-03-14","9:12:46","9:13:39","computer","null"
"7","2","3","1","Essai","2","3","3","0","2","0","0","0","0","3","0","0","3","3","2","2016-03-15","14:43:46","14:44:31","smartphone","null"
"8","3","1","3","Je suis sur Titanpad pour compléter un travail de groupe dans le cadre du module de psychologie clinique. ","5","7","7","7","5","0","0","4","4","5","0","0","4","6","2","2016-03-15","21:15:12","21:17:19","computer","null"
"9","3","2","3","Nous avons fait un skype pour une activité de psychologie clinique et de psychologie de l'éducation, ceci, avant la restitution de travaux de groupe.","6","6","6","7","5","0","0","0","2","0","0","0","6","6","6","2016-03-16","22:26:50","22:28:26","computer","null"
"10","3","3","3","Je fais des résumés des textes à lire en psychologie clinique. ","5","5","5","6","0","0","2","0","0","0","0","0","1","4","4","2016-03-17","21:54:7","21:55:25","computer","undefined"
"11","3","4","2",,"2","6","2","0","6","0","0","0","2","0","0","0","1","1","1","2016-03-18","21:48:7","21:51:27","computer","undefined"
"12","3","5","2",,"2","7","2","0","6","0","0","0","0","0","0","0","1","6","4","2016-03-19","21:16:20","21:17:21","computer","undefined"
"13","3","6","3","Je lis des articles en lien avec la psychologie clinique et fais des fiches de lecture pour résumer. ","5","6","6","7","5","0","0","0","0","5","0","0","2","2","2","2016-03-21","21:53:30","21:55:58","computer","undefined"
"14","3","7","3","Je lis un article sur C. Rogers dans le cadre de la psychologie clinique. ","6","7","6","7","6","0","0","0","0","6","0","0","2","2","2","2016-03-22","21:19:8","21:20:18","computer","undefined"
"15","3","8","3","Je lis un texte en psychologie clinique :  Le partenariat avec l'intervenant : vers une augmentation du sentiment d'efficacité de soi chez les parents. ","6","6","6","7","6","0","0","0","0","6","0","0","2","2","2","2016-03-23","22:27:53","22:29:9","computer","undefined"
"16","3","9","2",,"2","6","2","0","6","0","0","0","0","0","0","0","1","1","1","2016-03-24","21:24:57","21:25:48","computer","undefined"
"17","3","10","3","Je lis un texte sur l'apprentissage dans le domaine du cognitivisme dans le module de psychologie de l'éducation. ","5","6","6","7","5","0","2","0","0","3","0","0","4","2","2","2016-03-26","21:36:45","21:38:33","computer","undefined"
"18","3","11","1",,"2","6","2","0","6","0","0","0","0","0","0","0","5","2","2","2016-03-27","1:5:30","1:6:48","computer","undefined"
"19","3","12","3","Je lis un texte en psychologie de l'éducation sur la compréhension de texte et tente de répondre aux questions de la fiche de lecture. ","5","6","6","7","4","0","2","0","0","2","0","0","2","2","2","2016-03-28","21:24:48","21:26:1","computer","undefined"
